368561	3			
806648	3			
806945	3			
808189	3			
808663	3			
811698	3			
811887	3			
811951	3			
816238	3			
885374	3			
1136785	3			
1137156	3			
644445	3			
801077	3			
801967	3			
802723	3			
803800	3			
805084	3			
805360	3			
806668	3			
812501	3			
813007	3			
813199	3			
815146	3			
815161	3			
815247	3			
815782	3			
816376	3			
882939	3			
1034181	3			
1056836	3			
1175683	3			
515463	3			
550756	3			
803089	3			
806732	3			
944751	3			
988089	3			
996936	3			
1013272	3			
1034044	3			
1056173	3			
1056808	3			
1087457	3			
1136193	3			
1136213	3			
1136270	3			
1136351	3			
1137605	3			
1183310	3			
1190425	3			
1320495	3			
				
