225112	1								
225191	1								
225299	1								
225381	1								
225669	1								
231295	1								
231627	1								
231732	1								
289407	1								
343289	1								
343572	1								
343751	1								
343919	1								
366637	1								
367493	1								
367527	1								
367634	1								
367645	1								
367751	1								
367795	1								
368040	1								
394478	1								
395131	1								
395777	1								
396678	1								
396845	1								
396948	1								
397129	1								
397177	1								
397313	1								
397434	1								
397638	1								
397714	1								
508315	1								
508385	1								
508710	1								
510195	1								
510197	1								
510331	1								
510445	1								
510569	1								
510692	1								
510743	1								
510752	1								
510810	1								
510866	1								
510974	1								
511120	1								
511212	1								
511230	1								
511271	1								
511400	1								
511604	1								
511607	1								
511608	1								
511650	1								
511686	1								
511790	1								
512030	1								
512420	1								
512775	1								
513997	1								
515576	1								
515772	1								
515836	1								
515914	1								
515954	1								
515991	1								
516041	1								
516059	1								
516065	1								
516092	1								
516112	1								
516138	1								
516148	1								
516158	1								
516163	1								
516239	1								
550938	1								
566293	1								
567086	1								
567133	1								
567363	1								
567605	1								
567639	1								
567865	1								
568135	1								
568203	1								
568331	1								
568474	1								
568559	1								
616853	1								
616869	1								
617059	1								
617610	1								
617799	1								
617888	1								
618181	1								
618341	1								
618722	1								
618774	1								
618851	1								
619420	1								
619655	1								
619773	1								
619793	1								
619892	1								
619917	1								
619946	1								
619955	1								
636165	1								
638778	1								
638799	1								
641735	1								
643025	1								
643334	1								
643628	1								
643746	1								
644208	1								
644309	1								
644358	1								
644794	1								
645239	1								
645320	1								
645349	1								
645516	1								
754804	1								
755188	1								
757347	1								
757592	1								
758568	1								
758956	1								
759564	1								
793812	1								
794030	1								
794923	1								
796510	1								
796841	1								
796898	1								
797053	1								
797058	1								
797675	1								
798152	1								
798393	1								
798803	1								
798810	1								
798935	1								
799230	1								
799244	1								
799251	1								
799282	1								
799325	1								
799458	1								
799514	1								
799564	1								
799605	1								
799915	1								
799980	1								
800059	1								
800075	1								
800091	1								
800420	1								
800437	1								
800440	1								
800714	1								
800770	1								
800835	1								
800876	1								
