809870	1	
801367	1	
809941	1	
813530	1	
1085729	1	
1136243	1	
619342	1	
805084	1	
619902	1	
813744	1	
814449	1	
1124517	1	
618904	1	
797254	1	
1135286	1	
944751	1	
1086109	1	
814406	1	
1296131	2	
1296053	2	
1296118	2	
801711	1	
944158	1	
997305	1	
509370	1	
813968	1	
1034893	1	
1191059	1	
809154	1	
511464	1	
814118	1	
800877	1	
814263	1	
804716	1	
796459	1	
799289	1	
813567	1	
1094959	1	
395460	1	
998013	1	
1138501	1	
1175701	1	
758786	1	
807625	1	
1161251	1	 
806618	1	
807955	1	
8110082	1	
812606	1	
1110728	1	
618662	1	
618058	1	
796202	1	
805853	1	
